request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01m23vv0mxe3wvjn4j4daa3g9d,1788983739037,200,0.284059,3.363016,openai/gpt-oss-120b,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,3783,3783,0,0,1481
req_01m23vtz64e7pa2ckbnfa4n71s,1788983737540,200,0.302271,1.495889,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,2591,2591,0,0,530
req_01m23vtsmzekxannsr3p3raaty,1788983731871,200,0.257208,4.3555209999999995,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,1484,1484,0,0,1815
req_01m23vtsbze40s0p10rz488jyh,1788983731583,200,0.244347,0.287545,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,1081,1081,0,0,20
req_01m23vtsbwe5xartzvw6j6rxws,1788983731580,200,0,10.820194,groq/compound,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,0,0,0,0,0
req_01m23vth6aeh696sz0wg1gbxz4,1788983723210,429,0,0.003011,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,0,0,0,0,0,"{\"code\":\"rate_limit_exceeded\",\"message\":\"Rate limit reached for model `meta-llama/llama-4-scout-17b-16e-instruct` in organization `org_01m23mbjzvez7b6x1j3fte0zhs` service tier `on_demand` on tokens per minute (TPM): Limit 30000, Used 27753, Requested 5485. Please try again in 6.476s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing\",\"param\":\"\",\"type\":\"tokens\"}"
req_01m23vtepke5nrsfqpgnh1fmk3,1788983720659,200,0.404673,2.035992,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,3753,3753,0,0,724
req_01m23vtbg9e5evdk5yfx9naxke,1788983717385,200,0.326083,2.669862,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,3418,3418,0,0,1037
req_01m23vt7h8eba8m9wknrnqh792,1788983713320,200,0.343664,3.426377,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,3085,3085,0,0,1365
req_01m23vt1nwe2gbjaamw81zjkm8,1788983707324,200,0.257181,5.47354,meta-llama/llama-4-scout-17b-16e-instruct,key_01m23r25jhen6akzvxrv7md53t,project_01m23mbkzpead8sdmz5yb106vf,1484,1484,0,0,2311
